POSITIF,,,,,,,
index,Jumlah tweet,followers,following,jumlah like,umur,rasio,rasio following/followers
count,278,278,278,278,278,278,
mean,56219.71223,11134.10791,4185.705036,48937.65827,1897.241007,Infinity,2.66003166
std,94421.42356,19542.96725,6265.997608,108989.8621,1558.680515,NaN,
min,39,0,0,0,19,0,
25%,6147,648,451.25,2717.5,563,0.852073311,
50%,16754.5,2510,1404,5713,1180.5,1.073188076,
75%,42632,12546,6448,26984.25,3146,1.755357218,
max,604193,79794,36363,496082,5653,Infinity,
,,,,,,,
,,,,,,,
NEGATIF,,,,,,,
index,Jumlah tweet,followers,following,jumlah like,umur,rasio,
count,253,253,253,253,253,252,
mean,31398.37154,26824.39921,1110.162055,22244.05929,2574.252964,Infinity,24.16259778
std,70274.53847,215735.0959,2760.23777,73564.57211,1655.123721,NaN,
min,1,0,0,0,60,0,
25%,2128,46,136,416,864,0.222403974,
50%,8285,268,351,2284,2926,0.876267749,
75%,24659,1483,920,9604,4148,1.912618388,
max,672289,3040100,28647,496082,5217,Infinity,
,,,,,,,
,,,,,,,
NETRAL,,,,,,,
index,Jumlah tweet,followers,following,jumlah like,umur,rasio,
count,318,318,318,318,318,318,
mean,59348.64465,85401.7044,3741.918239,43868.98742,1800.830189,1779.477645,22.82297446
std,158331.9095,785670.0194,6229.000004,104540.4895,1547.672702,18828.69805,
min,5,0,3,0,33,0,
25%,5276,436.25,407,2284,557,0.795419847,
50%,10582,1835.5,1107,4675,1035,1.030581361,
75%,43765,8459,4738.25,19434,3063,1.704063604,
max,2221074,11007276,36363,466920,4981,282649.7,
